28
15
MEDITERRANEANAVENUE,0,60,30,50,2,4,10,30,90,160,250,0,0,0
BALTICAVENUE,0,60,30,50,4,8,20,60,180,320,450,0,0,0
ORIENTALAVENUE,1,100,50,50,6,12,30,90,270,400,550,0,0,0
VERMONTAVENUE,1,100,50,50,6,12,30,90,270,400,550,0,0,0
CONNECTICUTAVENUE,1,120,60,50,8,16,40,100,300,450,600,0,0,0
STCHARLESPLACE,2,140,70,100,10,20,50,150,450,625,750,0,0,0
STATESAVENUE,2,140,70,100,10,20,50,150,450,625,750,0,0,0
VIRGINIAAVENUE,2,160,80,100,12,24,60,180,500,700,900,0,0,0
STJAMESPLACE,3,180,90,100,14,28,70,200,550,750,950,0,0,0
TENESSEEAVENUE,3,180,90,100,14,28,70,200,550,750,950,0,0,0
NEWYORKAVENUE,3,200,100,100,16,32,80,220,600,800,1000,0,0,0
KENTUCKYAVENUE,4,220,110,150,18,36,90,250,700,875,1050,0,0,0
INDIANAAVENUE,4,220,110,150,18,36,90,250,700,875,1050,0,0,0
ILLINOISAVENUE,4,240,120,150,20,40,100,300,750,925,1100,0,0,0
ATLANTICAVENUE,5,260,130,150,22,44,110,330,800,975,1150,0,0,0
VENTNORAVENUE,5,260,130,150,22,44,110,330,800,975,1150,0,0,0
MARVINGARDENS,5,280,140,150,24,48,120,360,850,1025,1200,0,0,0
PACIFICAVENUE,6,300,150,200,26,52,130,390,900,1100,1275,0,0,0
NORTHCAROLINAAVENUE,6,300,150,200,26,52,130,390,900,1100,1275,0,0,0
PENNSYLVANIAAVENUE,6,320,160,200,28,56,150,450,1000,1200,1400,0,0,0
PARKPLACE,7,350,175,200,35,70,175,500,1100,1300,1500,0,0,0
BOARDWALK,7,400,200,200,50,100,200,600,1400,1700,2000,0,0,0
READINGRAILROAD,8,200,100,0,25,0,0,0,0,0,0,50,100,200
PENNSYLVANIARAILROAD,8,200,100,0,25,0,0,0,0,0,0,50,100,200
B&ORAILROAD,8,200,100,0,25,0,0,0,0,0,0,50,100,200
SHORTLINE,8,200,100,0,25,0,0,0,0,0,0,50,100,200
ELECTRICCOMPANY,9,150,75,0,0,0,0,0,0,0,0,0,0,0
WATERWORKS,9,150,75,0,0,0,0,0,0,0,0,0,0,0
